Energy (eV),Spectrum (Gw/sr/eV),Time (ns)
0,0.00199188372880757,3
2.48624312156078,0.00251481128324647,3
4.97248624312156,0.00302919177968394,3
7.45872936468234,0.00353506800209375,3
9.94497248624312,0.00403248273444971,3
12.4312156078039,0.00452147876072559,3
14.9174587293647,0.00500209886489518,3
17.4037018509255,0.00547438583093228,3
19.8899449724862,0.00593838244281067,3
22.376188094047,0.00639413148450414,3
24.8624312156078,0.00684167573998648,3
27.3486743371686,0.00728105799323148,3
29.8349174587294,0.00771232102821293,3
32.3211605802902,0.00813550762890461,3
34.8074037018509,0.00855066057928032,3
37.2936468234117,0.00895782266331384,3
39.7798899449725,0.00935703666497896,3
42.2661330665333,0.00974834536824948,3
44.7523761880941,0.0101317915570992,3
47.2386193096548,0.0105074180155018,3
49.7248624312156,0.0108752675274312,3
52.2111055527764,0.0112353828768612,3
54.6973486743372,0.0115878068477655,3
57.183591795898,0.0119325822241179,3
59.6698349174587,0.0122697517898923,3
62.1560780390195,0.0125993583290623,3
64.6423211605803,0.0129214446256018,3
67.1285642821411,0.0132360534634846,3
69.6148074037019,0.0135432276266845,3
72.1010505252626,0.0138430098991752,3
74.5872936468234,0.0141354430649305,3
77.0735367683842,0.0144205699079243,3
79.559779889945,0.0146984332121304,3
82.0460230115058,0.0149690757615224,3
84.5322661330665,0.0152325403400742,3
87.0185092546273,0.0154888697317596,3
89.5047523761881,0.0157381067205524,3
91.9909954977489,0.0159802940904264,3
94.4772386193097,0.0162154746253553,3
96.9634817408704,0.0164436911093129,3
99.4497248624312,0.0166649863262731,3
101.935967983992,0.0168794030602096,3
104.422211105553,0.0170869840950962,3
106.908454227114,0.0172877722149067,3
109.394697348674,0.0174818102036149,3
111.880940470235,0.0176691408451945,3
114.367183591796,0.0178498069236195,3
116.853426713357,0.0180238512228634,3
119.339669834917,0.0181913165269002,3
121.825912956478,0.0183522456197037,3
124.312156078039,0.0185066812852475,3
126.7983991996,0.0186546663075056,3
129.284642321161,0.0187962434704517,3
131.770885442721,0.0189314555580595,3
134.257128564282,0.0190603453543029,3
136.743371685843,0.0191829556431557,3
139.229614807404,0.0192993292085916,3
141.715857928964,0.0194095088345845,3
144.202101050525,0.0195135373051081,3
146.688344172086,0.0196114574041362,3
149.174587293647,0.0197033119156426,3
151.660830415208,0.0197891436236011,3
154.147073536768,0.0198689953119855,3
156.633316658329,0.0199429097647696,3
159.11955977989,0.0200109297659271,3
161.605802901451,0.0200730980994319,3
164.092046023012,0.0201294575492577,3
166.578289144572,0.0201800508993783,3
169.064532266133,0.0202249209337676,3
171.550775387694,0.0202641104363992,3
174.037018509255,0.020297662191247,3
176.523261630815,0.0203256189822848,3
179.009504752376,0.0203480235934864,3
181.495747873937,0.0203649188088256,3
183.981990995498,0.0203763474122761,3
186.468234117059,0.0203823521878117,3
188.954477238619,0.0203812567606735,3
191.44072036018,0.0203563850312239,3
193.926963481741,0.0203047128586431,3
196.413206603302,0.0202277356086083,3
198.899449724862,0.0201269486467974,3
201.385692846423,0.0200038473388877,3
203.871935967984,0.0198599270505568,3
206.358179089545,0.0196966831474824,3
208.844422211106,0.019515610995342,3
211.330665332666,0.0193182059598131,3
213.816908454227,0.0191059634065733,3
216.303151575788,0.0188803787013001,3
218.789394697349,0.0186429472096712,3
221.275637818909,0.018395164297364,3
223.76188094047,0.0181385253300562,3
226.248124062031,0.0178745256734253,3
228.734367183592,0.0176046606931488,3
231.220610305153,0.0173304257549043,3
233.706853426713,0.0170533162243694,3
236.193096548274,0.0167748274672217,3
238.679339669835,0.0164964548491386,3
241.165582791396,0.0162196937357978,3
243.651825912957,0.0159460394928769,3
246.138069034517,0.0156769874860533,3
248.624312156078,0.0154140330810046,3
251.110555277639,0.0151586716434084,3
253.5967983992,0.0149123985389423,3
256.08304152076,0.0146767091332838,3
258.569284642321,0.0144530987921105,3
261.055527763882,0.0142430628810999,3
263.541770885443,0.0140480967659296,3
266.028014007004,0.0138696958122772,3
268.514257128564,0.0137093553858201,3
271.000500250125,0.0135685708522361,3
273.486743371686,0.0134488375772026,3
275.972986493247,0.0133516509263972,3
278.459229614807,0.0132785062654974,3
280.945472736368,0.0132308989601809,3
283.431715857929,0.0132103243761251,3
285.91795897949,0.0132103026494397,3
288.404202101051,0.0132133915726719,3
290.890445222611,0.0132188509447197,3
293.376688344172,0.0132266272348202,3
295.862931465733,0.0132366669122104,3
298.349174587294,0.0132489164461273,3
300.835417708854,0.013263322305808,3
303.321660830415,0.0132798309604893,3
305.807903951976,0.0132983888794084,3
308.294147073537,0.0133189425318023,3
310.780390195098,0.013341438386908,3
313.266633316658,0.0133658229139625,3
315.752876438219,0.0133920425822027,3
318.23911955978,0.0134200438608659,3
